Date,Package,Title,pkg,cum_pkgs
2006-03-15,coxrobust,Robust Estimation in Cox Model,1,1
2006-03-30,BayesValidate,BayesValidate Package,1,2
2006-05-24,allelic,"A fast, unbiased and exact allelic exact test",1,3
2007-10-16,fuzzyFDR,Exact calculation of fuzzy decision rules for multiple testing,1,4
2008-04-29,poilog,Poisson lognormal and bivariate Poisson lognormal distribution,1,5
2008-06-09,LDtests,"Exact tests for Linkage Disequilibrium and Hardy-Weinberg
Equilibrium",1,6
2008-06-23,SASPECT,Significant AnalysiS of PEptide CounTs,1,7
2008-08-13,RM2,Revenue Management and Pricing Package,1,8
2008-09-08,pack,Convert values to/from raw vectors,1,9
2008-10-02,expert,Modeling without data using expert opinion,1,10
2008-10-28,kzs,Kolmogorov-Zurbenko Spatial Smoothing and Applications,1,11
2008-11-08,foba,greedy variable selection,1,12
2009-01-30,ETC,Equivalence to control,1,13
2009-02-01,CreditMetrics,Functions for calculating the CreditMetrics risk model,1,14
2009-02-01,Reliability,"Functions for estimating parameters in software reliability
models",1,15
2009-02-24,spe,Stochastic Proximity Embedding,1,16
2009-02-25,sac,Semiparametric Analysis of Changepoint,1,17
2009-04-28,mcsm,Functions for Monte Carlo Methods with R,1,18
2009-05-05,SEMModComp,Model Comparisons for SEM,1,19
2009-06-04,bootStepAIC,Bootstrap stepAIC,1,20
2009-06-08,HybridMC,"Implementation of the Hybrid Monte Carlo and Multipoint Hybrid
Monte Carlo sampling techniques",1,21
2009-06-14,svcm,2d and 3d Space-Varying Coefficient Models,1,22
2009-06-29,PearsonICA,"Independent component analysis using score functions from the
Pearson system",1,23
2009-08-08,crantastic,Various R tools for http://crantastic.org/,1,24
2009-08-30,km.ci,Confidence intervals for the Kaplan-Meier estimator,1,25
2009-09-23,HyperbolicDist,The hyperbolic distribution,1,26
2009-10-11,packClassic,Toy example of Pack Classic,1,27
2009-10-12,grouped,Regression Analysis of Grouped and Coarse Data,1,28
2009-10-16,adaptTest,Adaptive two-stage tests,1,29
2009-10-27,rela,Item Analysis Package with Standard Errors,1,30
2009-11-25,LogitNet,"Infer network based on binary arrays using regularized logistic
regression",1,31
2009-12-03,datamap,"A system for mapping foreign objects to R variables and
environments",1,32
2009-12-17,SampleSizeProportions,"Calculating sample size requirements when estimating the
difference between two binomial proportions",1,33
2010-01-10,HMM,HMM - Hidden Markov Models,1,34
2010-01-28,fisheyeR,"Fisheye and Hyperbolic-space-alike Interactive Visualization
Tools in R",1,35
2010-02-01,dynamicGraph,dynamicGraph,1,36
2010-02-03,scrapeR,Tools for Scraping Data from HTML and XML Documents,1,37
2010-02-07,stam,Spatio-Temporal Analysis and Modelling,1,38
2010-02-16,ic50,"Standardized high-throughput evaluation of cell-based compound
screens",1,39
2010-03-16,haarfisz,Software to perform Haar Fisz transforms,1,40
2010-04-02,endogMNP,"R Package for Fitting Multinomial Probit Models with Endogenous
Selection",1,41
2010-04-05,AIM,AIM: adaptive index model,1,42
2010-04-13,nws,R functions for NetWorkSpaces and Sleigh,1,43
2010-04-14,identity,Jacquard Condensed Coefficients of Identity,1,44
2010-04-14,space,Sparse PArtial Correlation Estimation,1,45
2010-05-01,ProDenICA,"Product Density Estimation for ICA using tilted Gaussian density
estimates",1,46
2010-05-07,cgh,Microarray CGH analysis using the Smith-Waterman algorithm,1,47
